Field1_Text
Tahrir Square in Cairo
President Mubarak
Jim Jarmusch
William Blake
Night On Earth (1991)
Claude Faraldo's Themroc (1973)
Terry Gilliam's Brazil (1985)
John Boorman's The Emerald Forest (1985)
JG Ballard's High‐Rise (1975)
Thomas Pynchon's Gravity's Rainbow (1973)
John Fowles
The Tree (1979)
Louis Kahn
Frank Lloyd Wright
Constructivists
Friedensreich Hundertwasser
Geoff Ward
European Space Agency
Barbarella
Kathryn Findlay
John Puttick
Land of Scattered Seeds
Vitruvius
Server project
Matthew Cannon and Mascia Gianvanni
Canary Wharf
"Derek Draper, Book Shop, Oxford Street, London"
Renzo Piano
‘Shard’
‘Gherkin’
Dominic Shepherd
Lucas Cranach the Elder
The Golden Age
MVRDV
Mike Aling
‘Digital Cottage Industries’
Claude Lévi‐Strauss
"Mark Titman, Robin Monotti and James Furzer, Watering Holes, Green Park"
Virgil
John Milton
Edmund Spenser
William Shakespeare
The Faerie Queen
Paradise Lost
Samuel Palmer
Colin Harrison
"Suzanne Moxhay, Eventide, digital collage"
Facebook
Zaha Hadid
Frank Gehry
Michael Sorkin
Animal Houses
Herd Houses
Turtle Portable Theatre
Starfish Revolving Restaurant
François Roche
R&Sie(n)/New Territories
"Snake Bridge, oil on card"
"Michael Krinou, Aviary and Dovecote, Deptford High Street"
emerging design approaches
"Foster + Partners, Khan Shatyr Entertainment Centre, Astana, Kazakhstan"
Sean Ahlquist and Achim Menges
sketching by algorithm
RhinoScript
Visual Basic for Applications (VBA)
Bentley Systems' MicroStation™
Daniel Cardoso Llach
Robert McNeel & Associates' Grasshopper®
Brady Peters and Daniel Davis
Herzog & de Meuron
Grimshaw
Aedas | R&D
UNStudio
Buro Happold SMART Solutions
Knippers Helbig Advanced Engineering
Gehry Technologies
MOS
Facit Homes
hybrid software engineers/architects
David Rutten
Daniel Piker
Andrew O Payne and Jason Kelly Johnson
Giulio Piacentino
Thomas Grabner and Ursula Frick
Arthur van der Harten
Smartgeometry
the Grasshopper community
Beijing International Airport
Smithsonian Institution Washington DC
"Gehry Partners, Fondation Louis Vuitton Museum, Paris"
Sawako Kaijima
Roland Bouffanais
Karen Willcox
Suresh Naidu
Clemens Preisinger
Stan Allen
"Infinity Tower, Dubai"
Specialist Modelling Group (SMG)
Mouzhan Majidi
Jan Knipper
Dennis Shelden
Hugh Whitehead
‘lone gun’ mentality
"Cathedral of Saint Peter of Beauvais, Beauvais, France"
"Le Thornet Abbey, Provence, France"
"Filippo Brunelleschi, Basilica di Santa Maria dei Fiore cupola, Florence"
Ludovico Cigilio
Mark Wigley
here‐now qualities
"Joseph Paxton, The Crystal Palace, Hyde Park, before being moved to Penge Common, London"
"Vladimir Shukhov, Shukhov radio tower (Shabolovka tower), Moscow"
emerging vitality
Vitruvius' Ten Books of Architecture
the Internet
"Antoni Gaudí, ‘Hanging model’ for Colònia Güell Chapel, Santa Coloma de Cervelló, near Barcelona"
"Norman Foster, Willis Faber & Dumas Headquarters, Ipswich, Suffolk, UK"
"James Stirling, Faculty of History Library, Cambridge University, Cambridge"
"Renzo Piano, Richard Rogers and Gianfranco Franchini, Centre George Pompidou, Paris"
"MOS (Michael Meredith and Hilary Sample), Pavilion Spéciale competition entry mock‐ups, École Speciale d'Architecture, New York studio"
"Ginger Krieg Dosier, VergeLabs/BioMASON, Bio‐Manufactured Brick"
"Pia Ednie‐Brown, Plastic Futures, State of Design Festival, Melbourne"
Gothic Revival
Le Corbusier
La Tourette
"New Territories/R&Sie(n), Concrete bio‐polymer secretions/extrusions/toolings, weaving bio‐concrete"
"Cloud 9 Architects (Enric Ruiz Geli), Media Tic, Barcelona"
Occupy Movement
Where Good Ideas Come From: The Natural History of Innovation
Steven Johnson
"John Odling‐Smee, Kevin Laland and Marcus Feldman"
Niche Construction
particularities of innovation
Congrés internationaux d'architecture modern (CIAM)
West Kowloon Cultural District
Nic Clear
Alastair Parvin
Foster + Partners
"Skidmore, Owings & Merrill (SOM)"
